Layer1,Layer2,DKL
15-,47-,2.7725412268191576
15-,48-,2.7725412268191576
15-,50-,2.9368622470647097
15-,51-,2.9368622470647097
15-,53-,3.1365238651633263
15-,54-,3.1365238651633263
15-,56-,3.2648537047207355
15-,57-,3.2648537047207355
15-,59-,3.4138219468295574
15-,60-,3.4138219468295574
15-,62-,3.4880231954157352
15-,63-,3.4880231954157352
15-,65-,3.60992893576622
15-,66-,3.60992893576622
15-,68-,3.678378611803055
15-,69-,3.678378611803055
15-,71-,3.7814750596880913
15-,72-,3.7814750596880913
15-,75-,3.832294836640358
15-,76-,3.832294836640358
15-,78-,3.922586727887392
15-,79-,3.922586727887392
15-,81-,4.004446350038052
15-,82-,4.004446350038052
15-,84-,4.155965406447649
16-,18-,0.37971968576312065
16-,19-,0.37971968576312065
16-,21-,0.8796229669824243
16-,22-,0.8796229669824243
16-,25-,1.1191546870395541
16-,26-,1.1191546870395541
16-,28-,1.3954466599971056
16-,29-,1.3954466599971056
16-,31-,1.586645887233317
16-,32-,1.586645887233317
16-,34-,1.9274889044463634
16-,35-,1.9274889044463634
16-,38-,2.084955433383584
16-,39-,2.084955433383584
16-,41-,2.3034631833434105
16-,42-,2.3034631833434105
16-,44-,2.477166896685958
16-,45-,2.477166896685958
16-,47-,2.7725412268191576
16-,48-,2.7725412268191576
16-,50-,2.9368622470647097
16-,51-,2.9368622470647097
16-,53-,3.1365238651633263
16-,54-,3.1365238651633263
16-,56-,3.2648537047207355
16-,57-,3.2648537047207355
16-,59-,3.4138219468295574
16-,60-,3.4138219468295574
16-,62-,3.4880231954157352
16-,63-,3.4880231954157352
16-,65-,3.60992893576622
16-,66-,3.60992893576622
16-,68-,3.678378611803055
16-,69-,3.678378611803055
16-,71-,3.7814750596880913
16-,72-,3.7814750596880913
16-,75-,3.832294836640358
16-,76-,3.832294836640358
16-,78-,3.922586727887392
16-,79-,3.922586727887392
16-,81-,4.004446350038052
16-,82-,4.004446350038052
16-,84-,4.155965406447649
18-,21-,0.49990336154587567
18-,22-,0.49990336154587567
18-,25-,0.739435113966465
18-,26-,0.739435113966465
18-,28-,1.0157271274365485
18-,29-,1.0157271274365485
18-,31-,1.2069263886660337
18-,32-,1.2069263886660337
18-,34-,1.547769452445209
18-,35-,1.547769452445209
18-,38-,1.7052359972149134
18-,39-,1.7052359972149134
18-,41-,1.9237437946721911
18-,42-,1.9237437946721911
18-,44-,2.097447508946061
18-,45-,2.097447508946061
18-,47-,2.3928219694644213
18-,48-,2.3928219694644213
18-,50-,2.557142898440361
18-,51-,2.557142898440361
18-,53-,2.7568046394735575
18-,54-,2.7568046394735575
18-,56-,2.8851344007998705
18-,57-,2.8851344007998705
18-,59-,3.034102737903595
18-,60-,3.034102737903595
18-,62-,3.1083039697259665
18-,63-,3.1083039697259665
18-,65-,3.2302098032087088
18-,66-,3.2302098032087088
18-,68-,3.2986594177782536
18-,69-,3.2986594177782536
18-,71-,3.4017558936029673
18-,72-,3.4017558936029673
18-,75-,3.4525757003575563
18-,76-,3.4525757003575563
18-,78-,3.5428675077855587
18-,79-,3.5428675077855587
18-,81-,3.624727262184024
18-,82-,3.624727262184024
18-,84-,3.776246380060911
19-,21-,0.49990336154587567
19-,22-,0.49990336154587567
19-,25-,0.739435113966465
19-,26-,0.739435113966465
19-,28-,1.0157271274365485
19-,29-,1.0157271274365485
19-,31-,1.2069263886660337
19-,32-,1.2069263886660337
19-,34-,1.547769452445209
19-,35-,1.547769452445209
19-,38-,1.7052359972149134
19-,39-,1.7052359972149134
19-,41-,1.9237437946721911
19-,42-,1.9237437946721911
19-,44-,2.097447508946061
19-,45-,2.097447508946061
19-,47-,2.3928219694644213
19-,48-,2.3928219694644213
19-,50-,2.557142898440361
19-,51-,2.557142898440361
19-,53-,2.7568046394735575
19-,54-,2.7568046394735575
19-,56-,2.8851344007998705
19-,57-,2.8851344007998705
19-,59-,3.034102737903595
19-,60-,3.034102737903595
19-,62-,3.1083039697259665
19-,63-,3.1083039697259665
19-,65-,3.2302098032087088
19-,66-,3.2302098032087088
19-,68-,3.2986594177782536
19-,69-,3.2986594177782536
19-,71-,3.4017558936029673
19-,72-,3.4017558936029673
19-,75-,3.4525757003575563
19-,76-,3.4525757003575563
19-,78-,3.5428675077855587
19-,79-,3.5428675077855587
19-,81-,3.624727262184024
19-,82-,3.624727262184024
19-,84-,3.776246380060911
21-,25-,0.2395317502086982
21-,26-,0.2395317502086982
21-,28-,0.5158237610012293
21-,29-,0.5158237610012293
21-,31-,0.7070230150129646
21-,32-,0.7070230150129646
21-,34-,1.0478660860098898
21-,35-,1.0478660860098898
21-,38-,1.2053326265886426
21-,39-,1.2053326265886426
21-,41-,1.4238403835333884
21-,42-,1.4238403835333884
21-,44-,1.5975441550835967
21-,45-,1.5975441550835967
21-,47-,1.892918546218425
21-,48-,1.892918546218425
21-,50-,2.0572395846247673
21-,51-,2.0572395846247673
21-,53-,2.2569012492895126
21-,54-,2.2569012492895126
21-,56-,2.385231014341116
21-,57-,2.385231014341116
21-,59-,2.534199306741357
21-,60-,2.534199306741357
21-,62-,2.6084006000310183
21-,63-,2.6084006000310183
21-,65-,2.730306382291019
21-,66-,2.730306382291019
21-,68-,2.798756026662886
21-,69-,2.798756026662886
21-,71-,2.901852509006858
21-,72-,2.901852509006858
21-,75-,2.9526723278686404
21-,76-,2.9526723278686404
21-,78-,3.0429641297087073
21-,79-,3.0429641297087073
21-,81-,3.1248238030821085
21-,82-,3.1248238030821085
21-,84-,3.2763429041951895
22-,25-,0.2395317502086982
22-,26-,0.2395317502086982
22-,28-,0.5158237610012293
22-,29-,0.5158237610012293
22-,31-,0.7070230150129646
22-,32-,0.7070230150129646
22-,34-,1.0478660860098898
22-,35-,1.0478660860098898
22-,38-,1.2053326265886426
22-,39-,1.2053326265886426
22-,41-,1.4238403835333884
22-,42-,1.4238403835333884
22-,44-,1.5975441550835967
22-,45-,1.5975441550835967
22-,47-,1.892918546218425
22-,48-,1.892918546218425
22-,50-,2.0572395846247673
22-,51-,2.0572395846247673
22-,53-,2.2569012492895126
22-,54-,2.2569012492895126
22-,56-,2.385231014341116
22-,57-,2.385231014341116
22-,59-,2.534199306741357
22-,60-,2.534199306741357
22-,62-,2.6084006000310183
22-,63-,2.6084006000310183
22-,65-,2.730306382291019
22-,66-,2.730306382291019
22-,68-,2.798756026662886
22-,69-,2.798756026662886
22-,71-,2.901852509006858
22-,72-,2.901852509006858
22-,75-,2.9526723278686404
22-,76-,2.9526723278686404
22-,78-,3.0429641297087073
22-,79-,3.0429641297087073
22-,81-,3.1248238030821085
22-,82-,3.1248238030821085
22-,84-,3.2763429041951895
25-,28-,0.27629199682269245
25-,29-,0.27629199682269245
25-,31-,0.4674912333721295
25-,32-,0.4674912333721295
25-,34-,0.8083342828322202
25-,35-,0.8083342828322202
25-,38-,0.9658008264377713
25-,39-,0.9658008264377713
25-,41-,1.1843085486907512
25-,42-,1.1843085486907512
25-,44-,1.358012341428548
25-,45-,1.358012341428548
25-,47-,1.6533866780810058
25-,48-,1.6533866780810058
25-,50-,1.81770772440359
25-,51-,1.81770772440359
25-,53-,2.0173693648539484
25-,54-,2.0173693648539484
25-,56-,2.145699142012745
25-,57-,2.145699142012745
25-,59-,2.2946674372069538
25-,60-,2.2946674372069538
25-,62-,2.368868658784777
25-,63-,2.368868658784777
25-,65-,2.490774467587471
25-,66-,2.490774467587471
25-,68-,2.559224158525467
25-,69-,2.559224158525467
25-,71-,2.66232059430331
25-,72-,2.66232059430331
25-,75-,2.713140431791544
25-,76-,2.713140431791544
25-,78-,2.8034322196617723
25-,79-,2.8034322196617723
25-,81-,2.8852918362244964
25-,82-,2.8852918362244964
25-,84-,3.0368109960108995
26-,28-,0.27629199682269245
26-,29-,0.27629199682269245
26-,31-,0.4674912333721295
26-,32-,0.4674912333721295
26-,34-,0.8083342828322202
26-,35-,0.8083342828322202
26-,38-,0.9658008264377713
26-,39-,0.9658008264377713
26-,41-,1.1843085486907512
26-,42-,1.1843085486907512
26-,44-,1.358012341428548
26-,45-,1.358012341428548
26-,47-,1.6533866780810058
26-,48-,1.6533866780810058
26-,50-,1.81770772440359
26-,51-,1.81770772440359
26-,53-,2.0173693648539484
26-,54-,2.0173693648539484
26-,56-,2.145699142012745
26-,57-,2.145699142012745
26-,59-,2.2946674372069538
26-,60-,2.2946674372069538
26-,62-,2.368868658784777
26-,63-,2.368868658784777
26-,65-,2.490774467587471
26-,66-,2.490774467587471
26-,68-,2.559224158525467
26-,69-,2.559224158525467
26-,71-,2.66232059430331
26-,72-,2.66232059430331
26-,75-,2.713140431791544
26-,76-,2.713140431791544
26-,78-,2.8034322196617723
26-,79-,2.8034322196617723
26-,81-,2.8852918362244964
26-,82-,2.8852918362244964
26-,84-,3.0368109960108995
28-,31-,0.19119924475671723
28-,32-,0.19119924475671723
28-,34-,0.5320422785589471
28-,35-,0.5320422785589471
28-,38-,0.6895088128512725
28-,39-,0.6895088128512725
28-,41-,0.9080165529157966
28-,42-,0.9080165529157966
28-,44-,1.0817203084006906
28-,45-,1.0817203084006906
28-,47-,1.3770946748554707
28-,48-,1.3770946748554707
28-,50-,1.5414156806655228
28-,51-,1.5414156806655228
28-,53-,1.7410773606970906
28-,54-,1.7410773606970906
28-,56-,1.8694071061909199
28-,57-,1.8694071061909199
28-,59-,2.0183754269964993
28-,60-,2.0183754269964993
28-,62-,2.0925766681320965
28-,63-,2.0925766681320965
28-,65-,2.21448245504871
28-,66-,2.21448245504871
28-,68-,2.2829320919699967
28-,69-,2.2829320919699967
28-,71-,2.386028571985662
28-,72-,2.386028571985662
28-,75-,2.436848333105445
28-,76-,2.436848333105445
28-,78-,2.5271401908248663
28-,79-,2.5271401908248663
28-,81-,2.60899979993701
28-,82-,2.60899979993701
28-,84-,2.760518940165639
29-,31-,0.19119924475671723
29-,32-,0.19119924475671723
29-,34-,0.5320422785589471
29-,35-,0.5320422785589471
29-,38-,0.6895088128512725
29-,39-,0.6895088128512725
29-,41-,0.9080165529157966
29-,42-,0.9080165529157966
29-,44-,1.0817203084006906
29-,45-,1.0817203084006906
29-,47-,1.3770946748554707
29-,48-,1.3770946748554707
29-,50-,1.5414156806655228
29-,51-,1.5414156806655228
29-,53-,1.7410773606970906
29-,54-,1.7410773606970906
29-,56-,1.8694071061909199
29-,57-,1.8694071061909199
29-,59-,2.0183754269964993
29-,60-,2.0183754269964993
29-,62-,2.0925766681320965
29-,63-,2.0925766681320965
29-,65-,2.21448245504871
29-,66-,2.21448245504871
29-,68-,2.2829320919699967
29-,69-,2.2829320919699967
29-,71-,2.386028571985662
29-,72-,2.386028571985662
29-,75-,2.436848333105445
29-,76-,2.436848333105445
29-,78-,2.5271401908248663
29-,79-,2.5271401908248663
29-,81-,2.60899979993701
29-,82-,2.60899979993701
29-,84-,2.760518940165639
31-,34-,0.34084303892450407
31-,35-,0.34084303892450407
31-,38-,0.49830956710502505
31-,39-,0.49830956710502505
31-,41-,0.7168173101963475
31-,42-,0.7168173101963475
31-,44-,0.8905210709199309
31-,45-,0.8905210709199309
31-,47-,1.1858954189810902
31-,48-,1.1858954189810902
31-,50-,1.3502164366655052
31-,51-,1.3502164366655052
31-,53-,1.5498781020287424
31-,54-,1.5498781020287424
31-,56-,1.6782078696414828
31-,57-,1.6782078696414828
31-,59-,1.8271761767100543
31-,60-,1.8271761767100543
31-,62-,1.901377407135442
31-,63-,1.901377407135442
31-,65-,2.023283168207854
31-,66-,2.023283168207854
31-,68-,2.091732813976705
31-,69-,2.091732813976705
31-,71-,2.194829321000725
31-,72-,2.194829321000725
31-,75-,2.2456490877084434
31-,76-,2.2456490877084434
31-,78-,2.3359409598633647
31-,79-,2.3359409598633647
31-,81-,2.4178005675785244
31-,82-,2.4178005675785244
31-,84-,2.569319690577686
32-,34-,0.34084303892450407
32-,35-,0.34084303892450407
32-,38-,0.49830956710502505
32-,39-,0.49830956710502505
32-,41-,0.7168173101963475
32-,42-,0.7168173101963475
32-,44-,0.8905210709199309
32-,45-,0.8905210709199309
32-,47-,1.1858954189810902
32-,48-,1.1858954189810902
32-,50-,1.3502164366655052
32-,51-,1.3502164366655052
32-,53-,1.5498781020287424
32-,54-,1.5498781020287424
32-,56-,1.6782078696414828
32-,57-,1.6782078696414828
32-,59-,1.8271761767100543
32-,60-,1.8271761767100543
32-,62-,1.901377407135442
32-,63-,1.901377407135442
32-,65-,2.023283168207854
32-,66-,2.023283168207854
32-,68-,2.091732813976705
32-,69-,2.091732813976705
32-,71-,2.194829321000725
32-,72-,2.194829321000725
32-,75-,2.2456490877084434
32-,76-,2.2456490877084434
32-,78-,2.3359409598633647
32-,79-,2.3359409598633647
32-,81-,2.4178005675785244
32-,82-,2.4178005675785244
32-,84-,2.569319690577686
34-,38-,0.15746652825328056
34-,39-,0.15746652825328056
34-,41-,0.3759742737747729
34-,42-,0.3759742737747729
34-,44-,0.5496780354296789
34-,45-,0.5496780354296789
34-,47-,0.8450523838400841
34-,48-,0.8450523838400841
34-,50-,1.0093734001275152
34-,51-,1.0093734001275152
34-,53-,1.2090350632788613
34-,54-,1.2090350632788613
34-,56-,1.3373648332199082
34-,57-,1.3373648332199082
34-,59-,1.4863331024535
34-,60-,1.4863331024535
34-,62-,1.560534390155226
34-,63-,1.560534390155226
34-,65-,1.682440149364993
34-,66-,1.682440149364993
34-,68-,1.7508898065425456
34-,69-,1.7508898065425456
34-,71-,1.8539862546604127
34-,72-,1.8539862546604127
34-,75-,1.9048060709610581
34-,76-,1.9048060709610581
34-,78-,1.9950979000423104
34-,79-,1.9950979000423104
34-,81-,2.076957534532994
34-,82-,2.076957534532994
34-,84-,2.2284766498487443
35-,38-,0.15746652825328056
35-,39-,0.15746652825328056
35-,41-,0.3759742737747729
35-,42-,0.3759742737747729
35-,44-,0.5496780354296789
35-,45-,0.5496780354296789
35-,47-,0.8450523838400841
35-,48-,0.8450523838400841
35-,50-,1.0093734001275152
35-,51-,1.0093734001275152
35-,53-,1.2090350632788613
35-,54-,1.2090350632788613
35-,56-,1.3373648332199082
35-,57-,1.3373648332199082
35-,59-,1.4863331024535
35-,60-,1.4863331024535
35-,62-,1.560534390155226
35-,63-,1.560534390155226
35-,65-,1.682440149364993
